"label","domain","title","description","city","country"
"entertainment","www.thesun.co.uk","News, sport, celebrities and gossip | The Sun","Get the latest news, exclusives, sport, celebrities, showbiz, politics, business and lifestyle from The Sun",,
"entertainment","parade.com","Parade","Your daily destination for celebrity news, videos, entertainment, food, recipes, health tips, fitness, and games from America's most popular magazine",,
"entertainment","usweekly.com","USweekly",,,
"entertainment","www.whatsontv.co.uk","TV guide to top UK TV and soap spoilers | What's on TV","What’s on TV is the best guide to UK TV, news, gossip and spoilers about soaps, including EastEnders, Coronation Street, Emmerdale, and top TV",,
"entertainment","www.eonline.com","Entertainment News, Celebrity Gossip, Celebrity News | E! News","Your source for entertainment news, celebrities, celeb news, and celebrity gossip. Check out the hottest fashion, photos, movies and TV shows!",,
"entertainment","www.usmagazine.com","Us Weekly: Latest Celebrity News, Pictures & Entertainment","Get today's top celebrity news, celebrity photos, style tips, exclusive video, and more on UsMagazine.com, the official website of Us Weekly.",,
"entertainment","coed.com","Breaking News, Entertainment, Sports & College Life | COED","COED.com is a leading news, entertainment, college sports, and lifestyle destination for millennials and beyond.",,
"entertainment","metro.co.uk","Metro.co.uk: News, Sport, Showbiz, Celebrities from Metro","Metro.co.uk: News, Sport, Showbiz, Celebrities from Metro","Metro",
"entertainment","popsop.com","POPSOP – TRENDS AND PERSONALITIES",,,
,"www.animenewsnetwork.com","Anime News Network",,,
"entertainment","people.com","People.com | Celebrity News, Exclusives, Photos and Videos | PEOPLE.com","People.com | Celebrity News, Exclusives, Photos and Videos",,
"financial_news","www.ii.co.uk","interactive investor: low cost online trading & investment platform ","interactive investor is a low cost, award winning, online investment platform enabling you to easily manage shares, funds, SIPPs, ISAs & more....",,
"financial_news","www.mysmartrend.com","Stock Trend | Stock Alerts and Market Technical Analysis | Comtex SmarTrend","Stock Analysis and Tracking in Real-Time. SmarTrend analysis and tracking of the stock market makes you money.  Get a Free 14-day Stock Alerts trial today.",,
